Repeat,#Households,Result,Demand Profile,FW-DDSM-CP,,,FW-DDSM-OGSA,,
3,6000,CR-D,Actual,0,0,0,0,0.01,0.01
3,8000,PAR,Preferred,1.15,1.15,1.15,1.15,1.15,1.15
3,8000,DR,Preferred,0,0,0,0,0,0
3,8000,CR,Preferred,0,0,0,0,0,0
3,8000,PAR,Optimised,1.04,1.04,1.04,1.03,1.03,1.03
3,8000,DR,Optimised,0.1,0.1,0.1,0.11,0.11,0.11
3,8000,CR,Optimised,0.14,0.14,0.14,0.14,0.14,0.14
3,8000,PAR,Actual,1.04,1.04,1.07,1.04,1.04,1.08
3,8000,PAR-D,Actual,0,0,0.03,0.01,0.01,0.05
3,8000,DR,Actual,0.07,0.09,0.09,0.06,0.09,0.1
3,8000,DR-D,Actual,0.01,0.01,0.03,0.01,0.02,0.05
3,8000,CR,Actual,0.13,0.13,0.14,0.13,0.13,0.13
3,8000,CR-D,Actual,0,0.01,0.01,0.01,0.01,0.01
3,10000,PAR,Preferred,1.2,1.2,1.2,1.2,1.2,1.2
3,10000,DR,Preferred,0,0,0,0,0,0
3,10000,CR,Preferred,0,0,0,0,0,0
3,10000,PAR,Optimised,1.05,1.05,1.05,1.05,1.05,1.05
3,10000,DR,Optimised,0.13,0.13,0.13,0.12,0.12,0.12
3,10000,CR,Optimised,0.11,0.11,0.11,0.11,0.11,0.11
3,10000,PAR,Actual,1.04,1.05,1.07,1.05,1.06,1.06
3,10000,PAR-D,Actual,0,0.01,0.02,0,0.01,0.01
3,10000,DR,Actual,0.1,0.12,0.13,0.11,0.12,0.12
3,10000,DR-D,Actual,0,0.01,0.03,0,0,0.01
3,10000,CR,Actual,0.11,0.11,0.11,0.11,0.11,0.11
3,10000,CR-D,Actual,0,0,0,0,0,0
4,50,PAR,Preferred,1.7,1.7,1.7,1.7,1.7,1.7
4,50,DR,Preferred,0,0,0,0,0,0
4,50,CR,Preferred,0,0,0,0,0,0
4,50,PAR,Optimised,1.01,1.01,1.01,1.03,1.03,1.03
4,50,DR,Optimised,0.4,0.4,0.4,0.39,0.39,0.39
4,50,CR,Optimised,0.09,0.09,0.09,0.09,0.09,0.09
4,50,PAR,Actual,1.55,1.73,2.11,1.44,1.69,2.49
4,50,PAR-D,Actual,0.54,0.72,1.1,0.41,0.66,1.46
4,50,DR,Actual,-0.24,-0.02,0.09,-0.46,0.01,0.15
4,50,DR-D,Actual,0.31,0.42,0.64,0.24,0.38,0.85
4,50,CR,Actual,-1.34,-0.11,0.06,-5.4,0,0.06
4,50,CR-D,Actual,0.03,0.2,1.43,0.03,0.09,5.49
4,100,PAR,Preferred,1.74,1.74,1.74,1.74,1.74,1.74
4,100,DR,Preferred,0,0,0,0,0,0
4,100,CR,Preferred,0,0,0,0,0,0
4,100,PAR,Optimised,1.09,1.09,1.09,1.08,1.08,1.08
4,100,DR,Optimised,0.37,0.37,0.37,0.38,0.38,0.38
4,100,CR,Optimised,0.07,0.07,0.07,0.07,0.07,0.07
4,100,PAR,Actual,1.33,1.42,1.64,1.36,1.51,1.75
4,100,PAR-D,Actual,0.24,0.33,0.55,0.28,0.43,0.67
4,100,DR,Actual,0.06,0.19,0.24,0,0.13,0.22
4,100,DR-D,Actual,0.13,0.18,0.31,0.16,0.25,0.38
4,100,CR,Actual,0.02,0.06,0.06,-0.01,0.05,0.06
4,100,CR-D,Actual,0.01,0.01,0.05,0.01,0.02,0.08
4,500,PAR,Preferred,1.29,1.29,1.29,1.29,1.29,1.29
4,500,DR,Preferred,0,0,0,0,0,0
4,500,CR,Preferred,0,0,0,0,0,0
4,500,PAR,Optimised,1.04,1.04,1.04,1.08,1.08,1.08
4,500,DR,Optimised,0.19,0.19,0.19,0.16,0.16,0.16
4,500,CR,Optimised,0.1,0.1,0.1,0.1,0.1,0.1
4,500,PAR,Actual,1.16,1.19,1.23,1.15,1.23,1.23
4,500,PAR-D,Actual,0.12,0.15,0.19,0.07,0.15,0.15
4,500,DR,Actual,0.05,0.07,0.1,0.04,0.04,0.11
4,500,DR-D,Actual,0.09,0.12,0.14,0.05,0.12,0.12
4,500,CR,Actual,0.05,0.06,0.07,0.06,0.07,0.08
4,500,CR-D,Actual,0.03,0.04,0.05,0.02,0.03,0.04
4,1000,PAR,Preferred,1.23,1.23,1.23,1.23,1.23,1.23
4,1000,DR,Preferred,0,0,0,0,0,0
4,1000,CR,Preferred,0,0,0,0,0,0
4,1000,PAR,Optimised,1.06,1.06,1.06,1.06,1.06,1.06
4,1000,DR,Optimised,0.14,0.14,0.14,0.14,0.14,0.14
4,1000,CR,Optimised,0.13,0.13,0.13,0.13,0.13,0.13
4,1000,PAR,Actual,1.13,1.14,1.2,1.09,1.13,1.17
4,1000,PAR-D,Actual,0.07,0.08,0.14,0.03,0.07,0.11
4,1000,DR,Actual,0.03,0.08,0.08,0.05,0.08,0.12
4,1000,DR-D,Actual,0.06,0.06,0.11,0.02,0.06,0.09
4,1000,CR,Actual,0.09,0.11,0.12,0.09,0.12,0.12
4,1000,CR-D,Actual,0.01,0.02,0.04,0.01,0.01,0.04
4,2000,PAR,Preferred,1.29,1.29,1.29,1.29,1.29,1.29
4,2000,DR,Preferred,0,0,0,0,0,0
4,2000,CR,Preferred,0,0,0,0,0,0
4,2000,PAR,Optimised,1.09,1.09,1.09,1.08,1.08,1.08
4,2000,DR,Optimised,0.16,0.16,0.16,0.17,0.17,0.17
4,2000,CR,Optimised,0.1,0.1,0.1,0.1,0.1,0.1
4,2000,PAR,Actual,1.1,1.12,1.18,1.09,1.12,1.23
4,2000,PAR-D,Actual,0.01,0.03,0.09,0.01,0.04,0.15
4,2000,DR,Actual,0.09,0.13,0.15,0.05,0.13,0.16
4,2000,DR-D,Actual,0.01,0.03,0.07,0.01,0.04,0.12
4,2000,CR,Actual,0.09,0.09,0.09,0.08,0.09,0.09
4,2000,CR-D,Actual,0.01,0.01,0.01,0.01,0.01,0.02
4,4000,PAR,Preferred,1.21,1.21,1.21,1.21,1.21,1.21
4,4000,DR,Preferred,0,0,0,0,0,0
4,4000,CR,Preferred,0,0,0,0,0,0
4,4000,PAR,Optimised,1.07,1.07,1.07,1.05,1.05,1.05
4,4000,DR,Optimised,0.12,0.12,0.12,0.13,0.13,0.13
4,4000,CR,Optimised,0.11,0.11,0.11,0.11,0.11,0.11
4,4000,PAR,Actual,1.07,1.08,1.09,1.06,1.06,1.08
4,4000,PAR-D,Actual,0,0.01,0.02,0.01,0.01,0.03
4,4000,DR,Actual,0.1,0.11,0.12,0.11,0.13,0.13
4,4000,DR-D,Actual,0,0.01,0.02,0,0,0.02
4,4000,CR,Actual,0.1,0.11,0.11,0.1,0.11,0.11
4,4000,CR-D,Actual,0,0,0.01,0,0,0.01
4,6000,PAR,Preferred,1.19,1.19,1.19,1.19,1.19,1.19
4,6000,DR,Preferred,0,0,0,0,0,0
4,6000,CR,Preferred,0,0,0,0,0,0
4,6000,PAR,Optimised,1.04,1.04,1.04,1.04,1.04,1.04
4,6000,DR,Optimised,0.13,0.13,0.13,0.12,0.12,0.12
4,6000,CR,Optimised,0.12,0.12,0.12,0.12,0.12,0.12
4,6000,PAR,Actual,1.05,1.06,1.09,1.04,1.05,1.06
4,6000,PAR-D,Actual,0.01,0.02,0.05,0,0.01,0.02
4,6000,DR,Actual,0.09,0.11,0.12,0.11,0.12,0.13
4,6000,DR-D,Actual,0.01,0.02,0.04,0,0,0.01
4,6000,CR,Actual,0.11,0.12,0.12,0.12,0.12,0.12
4,6000,CR-D,Actual,0,0,0.01,0,0,0
4,8000,PAR,Preferred,1.17,1.17,1.17,1.17,1.17,1.17
4,8000,DR,Preferred,0,0,0,0,0,0
4,8000,CR,Preferred,0,0,0,0,0,0
4,8000,PAR,Optimised,1.04,1.04,1.04,1.04,1.04,1.04
4,8000,DR,Optimised,0.11,0.11,0.11,0.11,0.11,0.11
4,8000,CR,Optimised,0.12,0.12,0.12,0.12,0.12,0.12
4,8000,PAR,Actual,1.04,1.05,1.08,1.04,1.05,1.05
4,8000,PAR-D,Actual,0,0.01,0.04,0,0.01,0.01
4,8000,DR,Actual,0.08,0.1,0.11,0.1,0.1,0.11
4,8000,DR-D,Actual,0,0.01,0.03,0,0.01,0.01
4,8000,CR,Actual,0.11,0.12,0.12,0.11,0.12,0.12
4,8000,CR-D,Actual,0,0,0.01,0,0,0.01
4,10000,PAR,Preferred,1.18,1.18,1.18,1.18,1.18,1.18
4,10000,DR,Preferred,0,0,0,0,0,0
4,10000,CR,Preferred,0,0,0,0,0,0
4,10000,PAR,Optimised,1.02,1.02,1.02,1.03,1.03,1.03
4,10000,DR,Optimised,0.13,0.13,0.13,0.13,0.13,0.13
4,10000,CR,Optimised,0.13,0.13,0.13,0.13,0.13,0.13
4,10000,PAR,Actual,1.04,1.04,1.07,1.04,1.04,1.05
4,10000,PAR-D,Actual,0.02,0.02,0.05,0.01,0.01,0.02
4,10000,DR,Actual,0.1,0.12,0.12,0.11,0.12,0.12
4,10000,DR-D,Actual,0.01,0.01,0.03,0.01,0.01,0.02
4,10000,CR,Actual,0.13,0.13,0.13,0.13,0.13,0.13
4,10000,CR-D,Actual,0,0,0,0,0,0
